director_key,director_name
27d32f76c02d1c11cfada6770ccbf13b,Olivier Afonso
ba8182ed63235ef1dd963528493a95a0,"Jackie van Beek, Madeleine Sami"
598e576c4a9aff96c5d4bfc767453728,Leandro Neri
ddf4bc2ba2d5d8b3f54ec722e4da682e,Laura Mañá
f69957fad855f8690459b622849a32e7,Elías León
7ff671ec24710c5e49705b2ecb26dc65,Soumendra Padhi
35340a1b0941412c9d20b5c97ec51cf5,Kaspar Astrup Schröder
651b7b524b65a964f9d4d85cdaabe22b,"Cavi Borges, Luciano Vidigal"
76b422e02831d8ee5287d43ce9fb3624,Serge Ou
caf11be77b902e0e4afff5c126eff1c5,"Alejandro Ruax, Ramiro Martínez"
1ae191a6550aa772c15f77c4cc70bc65,"Syrine Boulanouar, Nekfeu"
9a0358a7918311a2fd2ce84465512c48,Kelly Duane de la Vega
5f05a1bda618cc70513c110570c84b78,Riccardo Pilizzeri
e183e33a584b0ac3408a7d206871eff1,Giancarlo Esposito
d0f427dcecef61a71e201ad636471a99,Marja Lewis Ryan
bcfeacf7f35b4bcbeb19f4082bbb2cb1,Pablo Agüero
61b4f0f9e38d65f612d6d23e08951f6c,Prasobh Vijayan
1017ab2c2009f295f0866a361d4ce2cc,Thomas Stuber
3a9dbd576f10b8e11228e34a99eb4fb4,Pulkit
f55173a5f4d2a2eed3cd9358001116dc,Jean-Claude Flamand-Barny
19112b4cee002f58c8733eb9fe0b50c3,Anubhav Sinha
1a65771a08f9433b0f9b0f24ca433c67,Michael Doneger
878ae708b8c6edab93871481dcbf0787,Adam Del Giudice
06859e7e9ba0ca790253c3c94df6d21d,Chris Baugh
d562ae23e320454a19278bb09bc456d6,Serdar Akar
6d09d7d4bca3f82074d5c6b363f3bf91,"Riki Lindhome, Jeremy Konner"
a29ee0137a797fc3afbbb836c84458b7,Atharv Baluja
f78233c91e4ee75c69ebfc7e2fe147cb,M.J. Isakson
d880e6eaf83fd2d55c4d582f27c7113a,Jason Cohen
264f7a91310f8c34e859794dde0106d9,Selima Taibi
c854a77d9eb38f468c9101bb1f03411e,Sabu Varghese
8c046a39bcee5485d140261da2b14871,Avinash Walzade
bd9ca2e303d2e91e0d1b6e97a35c9d27,Ahn Byoung-wook
a776203d6241a01e2cf6e88c5a1a23dd,Adam Shankman
703e7bc7fd3e14508f5d371e76ec9668,Mitch Schauer
65727ffe53c9830fbde3533b07fe3785,Brent Maddock
fec6c025456786fd5207b40b78944ecc,Joe Nussbaum
7168032610a9197194c1b55ede00c0e2,"Will McCormack, Michael Govier"
9abd6ad8800f82171904905550d8f591,Takeshi Nozue
4b24d0d36e95726a3049079158f5d9f1,Kyle Newacheck
941c96168be776e14ad691355c61adc7,Matt Ogens
440c9aa9653acb473dbbfabced206b48,Julian Schnabel
6f4451523f5f28c256f198888ac4b389,Scott Stewart
d088b4e0f2af78beaef302616d809d70,Mike Flanagan
86c88163baebb9469d6700c5b3397c9f,Brett Ratner
43fb41b90fd52eeff19bcb7aaeeb8d42,David Mackenzie
c80eedd321f51fe0213b2ad74a66ad41,Len Wiseman
